panel,element,field,expected,actual,verdict
"cast-bar","CastingBarBorder","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"cast-bar","CastingBarBorder","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarFlash","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"cast-bar","CastingBarFlash","presence","PRESENT","ABSENT","DELTA"
"cast-bar","CastingBarFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"cast-bar","CastingBarFrame","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarFrame/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"cast-bar","CastingBarFrame/Texture","presence","PRESENT","ABSENT","DELTA"
"cast-bar","CastingBarSpark","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"cast-bar","CastingBarSpark","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarText","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"cast-bar","CastingBarText","presence","PRESENT","PRESENT","PASS"
